iter	Passed	Remaining
770	4955	1471
771	4961	1465
772	4967	1458
773	4972	1451
774	4979	1445
775	4983	1438
776	4988	1431
777	4995	1425
778	5000	1418
779	5006	1412
780	5012	1405
781	5017	1398
782	5023	1392
783	5028	1385
784	5034	1378
785	5041	1372
786	5045	1365
787	5052	1359
788	5058	1352
789	5063	1345
790	5070	1339
791	5075	1332
792	5082	1326
793	5087	1319
794	5091	1313
795	5098	1306
796	5103	1299
797	5109	1293
798	5115	1286
799	5120	1280
800	5126	1273
801	5132	1267
802	5137	1260
803	5144	1254
804	5149	1247
805	5155	1240
806	5160	1234
807	5165	1227
808	5172	1221
809	5177	1214
810	5182	1207
811	5189	1201
812	5193	1194
813	5198	1187
814	5206	1181
815	5210	1174
816	5217	1168
817	5222	1161
818	5227	1155
819	5234	1148
820	5238	1142
821	5244	1135
822	5250	1129
823	5255	1122
824	5263	1116
825	5267	1109
826	5272	1102
827	5279	1096
828	5283	1089
829	5288	1083
830	5295	1076
831	5299	1070
832	5306	1063
833	5312	1057
834	5316	1050
835	5323	1044
836	5328	1037
837	5333	1031
838	5339	1024
839	5344	1018
840	5350	1011
841	5356	1005
842	5361	998
843	5368	992
844	5373	985
845	5378	979
846	5384	972
847	5389	966
848	5395	959
849	5401	953
850	5405	946
851	5412	940
852	5417	933
853	5423	927
854	5429	920
855	5434	914
856	5441	907
857	5446	901
858	5451	894
859	5458	888
860	5463	881
861	5468	875
862	5474	869
863	5479	862
864	5485	856
865	5491	849
866	5495	843
867	5502	836
868	5507	830
869	5512	823
870	5518	817
871	5523	810
872	5529	804
873	5535	798
874	5540	791
875	5546	785
876	5551	778
877	5556	772
878	5562	765
879	5567	759
880	5573	752
881	5579	746
882	5585	740
883	5592	733
884	5596	727
885	5601	720
886	5608	714
887	5613	707
888	5619	701
889	5625	695
890	5630	688
891	5636	682
892	5642	676
893	5646	669
894	5653	663
895	5658	656
896	5664	650
897	5670	644
898	5675	637
899	5682	631
900	5687	624
901	5692	618
902	5698	612
903	5703	605
904	5710	599
905	5715	592
906	5720	586
907	5726	580
908	5731	573
909	5737	567
910	5743	561
911	5748	554
912	5755	548
913	5760	542
914	5765	535
915	5773	529
916	5778	523
917	5800	518
918	5805	511
919	5810	505
920	5817	498
921	5822	492
922	5827	486
923	5834	479
924	5838	473
925	5845	467
926	5850	460
927	5855	454
928	5863	448
929	5868	441
930	5873	435
931	5879	428
932	5884	422
933	5890	416
934	5895	409
935	5900	403
936	5907	397
937	5912	390
938	5918	384
939	5924	378
940	5929	371
941	5935	365
942	5941	359
943	5945	352
944	5952	346
945	5957	340
946	5962	333
947	5969	327
948	5974	321
949	5980	314
950	5986	308
951	5990	302
952	5997	295
953	6002	289
954	6007	283
955	6013	276
956	6018	270
957	6024	264
958	6029	257
959	6034	251
960	6041	245
961	6046	238
962	6050	232
963	6057	226
964	6062	219
965	6068	213
966	6074	207
967	6078	200
968	6085	194
969	6090	188
970	6095	182
971	6102	175
972	6107	169
973	6113	163
974	6119	156
975	6124	150
976	6131	144
977	6136	138
978	6140	131
979	6147	125
980	6152	119
981	6158	112
982	6164	106
983	6169	100
984	6176	94
985	6181	87
986	6186	81
987	6193	75
988	6198	68
989	6204	62
990	6209	56
991	6214	50
992	6220	43
993	6226	37
994	6231	31
995	6238	25
996	6242	18
997	6248	12
998	6254	6
999	6258	0
